candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,proofgrid_applicability,external_evidence_closes_decision,disposition
"ProofGrid exact/schema/diff control","syntactic/semantic scoring","docs/evidence/frozen-experiment.json; py/proofgrid/runner.py","18 frozen cases; repair path reaches 1.0 heldout schema/exact/task on six fixture-authored heldout cases","local CPU; deterministic; no-key USD 0","implemented at db5fbee; AutoEvals foundation pinned","fast; auditable; executable promotion gate","small fixture-authored suite; JSONDiff partial credit is not general semantic correctness","established locally","mandatory control","yes for current fixtures only","retain core"
"Executable/state-based scorers","semantic scoring","https://aclanthology.org/2026.acl-industry.87/; https://inspect.aisi.org.uk/scoring.html","Strong where task success is observable through tests, state or simulator; human-judge agreement depends on scenario specification","task/sandbox dependent; often cheaper than model judge","Inspect actively supports custom/sandbox scorers","high precision and diagnostic failure evidence","requires an executable oracle and application adapter","established","first scorer family for tool/code/workflow outcomes","yes as preferred family when observable","add adapter contract later"
"Reference similarity metrics","semantic scoring","https://aclanthology.org/2024.emnlp-main.764/; AutoEvals JSONDiff","Useful task-specific correlation; surface similarity can diverge from factual/task truth","low CPU cost","existing AutoEvals and broad libraries","cheap partial credit and regression diagnostics","metric validity is task-specific; reference dependence","established but bounded","diagnostic dimension, not sole promotion truth","yes that universal correctness claim is invalid","retain bounded"
"Provider-native structured output","structure enforcement","https://arxiv.org/abs/2501.10868","High schema compliance on supported subsets; schema coverage and semantic quality vary","hosted token cost; lowest local integration for supported providers","provider/version dependent; no stable cross-provider implementation","simple API and strong syntax guarantee","schema dialect gaps, vendor drift, no semantic guarantee","established family; provisional fit","candidate structured profile","no","benchmark through shared schema subset"
"Outlines","structure enforcement","https://github.com/dottxt-ai/outlines; https://arxiv.org/abs/2501.10868","JSONSchemaBench family evidence; local model/runtime transfer unresolved","local inference plus grammar compilation/masking","v1.3.2; head 9b8d256; pushed 2026-08-03; current Optional/dict/regex issues","mature Python structured generation across model backends","current schema edge defects; local-model integration exceeds current provider adapter","provisional","local constrained-decoding candidate","no","minimal seam only after model profile exists"
"XGrammar","structure enforcement","https://github.com/mlc-ai/xgrammar; https://arxiv.org/abs/2501.10868","Strong coverage/performance candidate in JSONSchemaBench family","native/runtime integration; server/local accelerator dependent","v0.2.5; head ac23bcc; pushed 2026-08-03; current XML loop, schema escape and macOS import defects","high-performance grammar engine and ecosystem integrations","native dependency and active edge defects; not a runner","provisional","server structured-output candidate","no","defer behind provider/runtime need"
"Guidance","structure enforcement","https://github.com/microsoft/guidance; https://arxiv.org/abs/2501.10868","Established constrained generation family with schema/grammar coverage tradeoffs","local/hosted backend dependent","v0.3.2; head 21b1d90; pushed 2026-05-21; current URI validation, dict schema and stop-string defects","expressive interleaved generation/control","broad generation DSL and current security/correctness issues","provisional","implementation reference, not first dependency","no","reject first integration"
"Parse-and-retry","structure recovery","docs/EXPERTISE_NOTES.md; https://aclanthology.org/2025.ranlp-1.124/","Can recover format failures; repeated generation may alter semantics and cost","one or more extra calls","existing provider adapter has bounded transient retry but no validation retry","portable across providers; preserves explicit validator","selection bias and semantic drift; variable latency/cost","established fallback","compare against native constraints","no","admit structured-output experiment"
"Bounded deterministic repair","structure recovery","docs/evidence/frozen-experiment.json","Local ambiguous-date rule wins frozen experiment","negligible CPU","implemented in deterministic fixture path","cheap and fully testable for unambiguous transformations","does not generalize; can fabricate meaning if broadened","established locally; contested default","control only","yes for exact current rule","retain narrow; reject generic repair claim"
"Pointwise rubric judge","rubric judgment","https://aclanthology.org/2025.acl-short.20/; https://aclanthology.org/2026.findings-acl.1929/","Agreement varies widely by dataset/criterion; objective attributes are more robust than subjective ones","one judge call per output plus calibration labels","AutoEvals rubric judge exists but is disabled by default locally","scalable open-output scoring and qualitative reasons","prompt/model/criterion sensitivity and no automatic uncertainty","provisional instrument","first judge control after human calibration","no","admit calibration experiment"
"Pairwise judge with order swap","rubric judgment","https://aclanthology.org/2025.ijcnlp-long.18/; https://aclanthology.org/2025.blackboxnlp-1.5/","Pairwise discrimination can improve ranking but position/style biases persist; pointwise-first can reduce some bias","two or more judge calls per pair/order","implementable via existing candidate/review contract; no component needed","direct candidate preference and bias probe","quadratic cost, non-transitivity, position/length/self bias","contested","candidate only for close open-ended outputs","no","compare with pointwise on blind human set"
"Single calibrated rubric judge","judge validity","https://aclanthology.org/2026.acl-industry.45/; https://aclanthology.org/2026.acl-industry.14/","Recent studies report gains from small human-labelled calibration heads/probes across tasks","one call plus calibration fit; probe may need model internals","research code/methods vary; generic ProofGrid calibration seam absent","can improve agreement and expose selective confidence cheaply","transfer and model-access constraints; newest evidence","provisional","primary calibration candidate","no","admit judge experiment"
"Multi-judge panel/meta-judge","judge validity","https://aclanthology.org/2025.findings-emnlp.941/; https://arxiv.org/abs/2605.29800","Panels can expose disagreement but debate can amplify bias and correlated errors collapse effective votes","multiple judge calls and higher latency/cost","no single mature ProofGrid component selected","disagreement signal and model-family diversity","correlated/shared bias; cost; complex aggregation","contested","challenger only if one calibrated judge misses gate","yes that panel is not automatic upgrade","defer conditionally"
"Blind human calibration set","judge validity/human review","https://aclanthology.org/2025.acl-short.20/; https://aclanthology.org/2026.eacl-long.180/","Human agreement and judge inflation vary by criterion and expertise","expert annotation and adjudication cost","ProofGrid review store exists; blind assignment/agreement stats missing","target population is the relevant truth source; supports judge validation","humans disagree/fatigue; rubric and sampling quality dominate","established requirement","mandatory before model-judge promotion","yes","admit first judge experiment"
"Bootstrap/Wilson paired uncertainty","statistics","https://arxiv.org/abs/2410.03492; https://inspect.aisi.org.uk/scoring.html","Repeated and resampled estimates expose score/ranking uncertainty hidden by means","offline CPU cheap; repeated model runs add inference cost","standard statistical libraries; Inspect supports clustered errors","interpretable intervals and paired comparison","small/non-independent case groups require cluster-aware design","established","mandatory reporting layer","yes on need; exact interval depends metric","admit shared measurement experiment"
